height,reach,weight,primary_division,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,record_summary_win_ratio
193.04,195.58,111.13004,Heavyweight,"Bridgwater, Somerset",Mark Godbeer,England,The Hand of,18,0,5,0,13,0,0,0,3,60,0,40,2,5,0,7,1,9,69,1,15,2,13,0.7222222222222222
177.8,180.34,77.11064,Welterweight,"Chatam, Ontario",Chris Clements,Canada,The Menace,19,0,6,1,12,0,16,1,2,33,0,50,3,6,1,8,1,11,91,0,0,0,12,0.6666666666666666
175.26,177.8,61.23492,Bantamweight,"Colorado Springs, Colorado",Elijah Smith,United States,Swift,9,0,1,0,8,0,0,0,1,100,0,0,0,1,0,37,3,4,50,0,12,1,8,0.8888888888888888
185.42,187.96,84.368112,Light Heavyweight,"Tucuma, Para",Michel Pereira,Brazil,Demolidor,45,0,12,2,31,0,66,8,2,16,1,8,1,12,2,35,11,11,35,0,29,9,31,0.7209302325581395
165.1,167.64,61.23492,Bantamweight,"Soure, Para",Deiveson Figueiredo,Brazil,Daico / Deus da Guerra,29,1,4,0,24,1,50,2,1,25,0,25,1,4,0,25,6,9,37,0,37,9,24,0.8571428571428571
167.64,170.18,61.23492,Bantamweight,"Liverpool, Merseyside",Dean Garnett,England,,16,1,3,0,12,1,0,0,1,33,0,66,2,3,0,33,4,3,25,0,41,5,12,0.8
182.88,185.42,77.11064,Welterweight,"Katy, Texas",Sage Northcutt,United States,Super,15,0,3,0,12,0,0,0,1,33,0,66,2,3,0,25,3,5,41,0,33,4,12,0.8
170.18,172.72,69.853168,Lightweight,"Togane, Chiba",Katsuhiko Nagata,Japan,,16,3,7,0,6,3,28,2,3,42,0,28,2,7,0,83,5,1,16,0,0,0,6,0.46153846153846156
177.8,180.34,77.11064,Welterweight,"Los Angeles, California",Scott Norton,United States,Hollywood,8,0,1,0,7,0,0,0,0,0,0,100,1,1,0,14,1,0,0,0,85,6,7,0.875
172.72,175.26,77.11064,Welterweight,"Bangor, Maine",Marcus Davis,United States,The Irish Hand Grenade,35,0,11,1,23,0,36,4,4,36,0,27,3,11,1,30,7,6,26,0,43,10,23,0.6764705882352942
170.18,172.72,56.699,Flyweight,Incheon,Ji Yeon Kim,South Korea,Fire Fist,18,2,7,0,9,2,100,7,0,0,0,0,0,7,0,44,4,2,22,0,33,3,9,0.5625
182.88,185.42,83.91452,Middleweight,"Myrtle Beach, South Carolina",Tresean Gore,United States,Mr. Vicious,8,0,3,0,5,0,33,1,2,66,0,0,0,3,0,20,1,1,20,0,60,3,5,0.625
172.72,175.26,66.224432,Lightweight,"Oceanside, New York",Levan Makashvili,United States,The Hornet,30,1,9,0,20,1,77,7,1,11,0,11,1,9,0,55,11,8,40,0,5,1,20,0.6896551724137931
185.42,187.96,83.91452,Middleweight,"Cedar Rapids, Iowa",Jeremy Horn,United States,Gumby,120,5,22,1,92,5,50,11,3,13,0,36,8,22,1,13,12,26,28,0,58,54,92,0.8070175438596491
177.8,180.34,76.657048,Welterweight,"Osaka, Osaka",Kiichi Kunimoto,Japan,Strasser,34,2,11,1,20,2,54,6,3,27,0,18,2,11,1,35,7,2,10,1,50,10,20,0.6451612903225806
180.34,182.88,83.91452,Middleweight,Zagreb,Mario Valentic,Croatia,,9,1,4,0,4,1,50,2,1,25,0,25,1,4,0,25,1,2,50,0,25,1,4,0.5
167.64,170.18,52.16308,Strawweight,Volgograd,Victoria Dudakova,Russia,,10,0,2,0,8,0,50,1,1,50,0,0,0,2,0,25,2,2,25,0,50,4,8,0.8
190.5,193.04,65.77083999999999,Featherweight,"San Diego, California",Roli Delgado,United States,The Crazy Cuban,18,1,6,0,11,1,50,3,3,50,0,0,0,6,0,27,3,2,18,0,54,6,11,0.6470588235294118
182.88,185.42,92.98636,Light Heavyweight,"Fall River, Massachusetts",Tom Lawlor,United States,Filthy,20,0,8,1,11,0,50,4,0,0,1,37,3,8,1,27,3,4,36,0,36,4,11,0.5789473684210527
175.26,177.8,70.30676,Lightweight,"Des Moines, Iowa",Jeremy Stephens,United States,Lil Heathen,51,0,21,1,29,0,61,13,3,14,0,23,5,21,1,27,8,19,65,0,6,2,29,0.58
167.64,170.18,61.23492,Bantamweight,Tashkent,Valisher Rakhmonov,Uzbekistan,Shahriansky Wolf,12,0,9,0,3,0,22,2,4,44,0,33,3,9,0,0,0,3,100,0,0,0,3,0.25
185.42,187.96,118.387512,Heavyweight,Opole,Damian Grabowski,Poland,The Polish Pitbull,27,0,5,0,22,0,40,2,2,40,0,20,1,5,0,13,3,8,36,0,50,11,22,0.8148148148148148
177.8,180.34,65.77083999999999,Featherweight,"Falls Church, Virginia",Ryan Hall,United States,The Wizard,11,0,2,0,9,0,50,1,1,50,0,0,0,2,0,44,4,2,22,0,33,3,9,0.8181818181818182
