_meta_filepath,_meta_has_ufc_fights,_meta_is_active_ufc,_meta_scraped_at,_meta_total_fights,_meta_weight_class,basic_info_date_of_birth,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_exhibition,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,filename,gender,height,primary_division,profile_url,reach,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,scraped_at,weight
./data/anthony_christodoulou_53712.json,True,False,2025-04-13T20:56:38.359096,20,Unknown,"Jul 30, 1987","Glyfada, Attica",Anthony Christodoulou,Greece,,[],20,0,7,0,13,anthony_christodoulou_53712.json,Male,"5'9""",Lightweight,https://www.sherdog.com/fighter/Anthony-Christodoulou-53712,"70""",0,28,2,2,28,0,42,3,7,0,30,4,4,30,0,38,5,13,2025-04-13T20:56:38.359096,155.0
./data/yoji_anjo_182.json,True,,2025-04-13T19:35:17.588311,6,Unknown,"Dec 31, 1969","Suginami, Tokyo",Yoji Anjo,Japan,Mr. 200%,[],6,1,5,0,0,yoji_anjo_182.json,Male,"5'11""",Light Heavyweight,https://www.sherdog.com/fighter/Yoji-Anjo-182,"72""",1,20,1,2,40,0,40,2,5,0,0,0,0,0,0,0,0,0,2025-04-13T19:35:17.588311,198.0
./data/bayastan_mamatali_330041.json,,,2025-04-13T17:53:32.431756,,Unknown,,Bishkek,Bayastan Mamatali,Kyrgyzstan,,[],2,0,0,0,2,bayastan_mamatali_330041.json,Male,"0'0""",Bantamweight,https://www.sherdog.com/fighter/Bayastan-Mamatali-330041,"1""",0,0,0,0,0,0,0,0,0,0,50,1,1,50,0,0,0,2,2025-04-13T17:53:32.431756,135.0
./data/bill_boland_19962.json,,,2025-04-13T16:13:50.067833,,Unknown,,"Oshawa, Ontario",Bill Boland,Canada,,[],5,0,0,0,5,bill_boland_19962.json,Male,"0'0""",Bantamweight,https://www.sherdog.com/fighter/Bill-Boland-19962,"1""",0,0,0,0,0,0,0,0,0,0,40,2,3,60,0,0,0,5,2025-04-13T16:13:50.067833,134.0
./data/thiago_silva_14396.json,,,2025-04-13T15:27:13.746461,,Unknown,"Nov 12, 1982","Sao Carlos, Sao Paulo",Thiago Silva,Brazil,,[],33,0,9,3,21,thiago_silva_14396.json,Male,"6'1""",Heavyweight,https://www.sherdog.com/fighter/Thiago-Silva-14396,"74""",0,44,4,4,44,0,11,1,9,3,23,5,15,71,0,4,1,21,2025-04-13T15:27:13.746461,223.0
./data/kyle_prepolec_80613.json,True,False,2025-04-13T20:53:52.377707,26,Unknown,"Aug 30, 1989","Windsor, Ontario",Kyle Prepolec,Canada,Killshot,[],26,0,8,0,18,kyle_prepolec_80613.json,Male,"5'10""",Welterweight,https://www.sherdog.com/fighter/Kyle-Prepolec-80613,"71""",0,75,6,0,0,0,25,2,8,0,22,4,10,55,0,22,4,18,2025-04-13T20:53:52.377707,160.0
./data/david_bielkheden_3863.json,True,False,2025-04-13T21:15:53.675257,39,Unknown,"Jun 6, 1979",Stockholm,David Bielkheden,Sweden,,[],39,0,13,0,26,david_bielkheden_3863.json,Male,"5'10""",Welterweight,https://www.sherdog.com/fighter/David-Bielkheden-3863,"71""",0,69,9,1,7,1,15,2,13,0,38,10,12,46,0,15,4,26,2025-04-13T21:15:53.675257,170.0
./data/jackson_de_padua_118841.json,,,2025-04-13T17:08:06.433949,,Unknown,"Apr 10, 1983","Sao Paulo, Sao Paulo",Jackson de Padua,Brazil,Jaco,[],10,0,6,0,4,jackson_de_padua_118841.json,Male,"5'6""",Featherweight,https://www.sherdog.com/fighter/Jackson-de-Padua-118841,"67""",0,16,1,2,33,0,50,3,6,0,50,2,0,0,0,50,2,4,2025-04-13T17:08:06.433949,145.0
./data/matthew_semelsberger_251541.json,True,False,2025-04-13T20:56:57.512557,19,Unknown,"Nov 23, 1992","Frederick, Maryland",Matthew Semelsberger,United States,Semi the Jedi,[],19,0,8,0,11,matthew_semelsberger_251541.json,Male,"6'1""",Welterweight,https://www.sherdog.com/fighter/Matthew-Semelsberger-251541,"74""",0,50,4,3,37,0,12,1,8,0,36,4,6,54,0,9,1,11,2025-04-13T20:56:57.512557,170.0
./data/claudia_gadelha_48404.json,True,False,2025-04-13T21:21:15.139353,23,Unknown,"Dec 7, 1988","Mossoro, Rio Grande do Norte",Claudia Gadelha,Brazil,Claudinha,[],23,0,5,0,18,claudia_gadelha_48404.json,Female,"5'3""",Strawweight,https://www.sherdog.com/fighter/Claudia-Gadelha-48404,"64""",0,100,5,0,0,0,0,0,5,0,50,9,2,11,0,38,7,18,2025-04-13T21:21:15.139353,115.0
./data/callan_potter_105689.json,,,2025-04-13T19:24:20.395625,,Unknown,"Sep 6, 1984","Kensington, Victoria",Callan Potter,Australia,The Rockstar,[],27,0,9,0,18,callan_potter_105689.json,Male,"6'1""",Lightweight,https://www.sherdog.com/fighter/Callan-Potter-105689,"74""",0,0,0,5,55,0,44,4,9,0,11,2,6,33,0,55,10,18,2025-04-13T19:24:20.395625,155.0
./data/joshua_miranda_59515.json,,,2025-04-13T19:20:53.926332,,Unknown,"Dec 26, 1986","Oakhurst, California",Joshua Miranda,United States,,[],17,0,10,0,7,joshua_miranda_59515.json,Male,"5'11""",Heavyweight,https://www.sherdog.com/fighter/Joshua-Miranda-59515,"72""",0,80,8,2,20,0,0,0,10,0,14,1,3,42,0,42,3,7,2025-04-13T19:20:53.926332,235.0
./data/sergey_guzev_53090.json,,,2025-04-13T19:05:26.676217,,Unknown,"Dec 12, 1982","Sumy, Sumy Oblast",Sergey Guzev,Ukraine,,[],24,0,4,0,20,sergey_guzev_53090.json,Male,"6'1""",Middleweight,https://www.sherdog.com/fighter/Sergey-Guzev-53090,"74""",0,100,4,0,0,0,0,0,4,0,15,3,6,30,0,55,11,20,2025-04-13T19:05:26.676217,185.0
